datetime,la_temp_mean,la_temp_max,la_temp_min,la_rhum_mean,la_prcp_sum,la_wspd_mean,sf_temp_mean,sf_temp_max,sf_temp_min,sf_rhum_mean,sf_prcp_sum,sf_wspd_mean,sd_temp_mean,sd_temp_max,sd_temp_min,sd_rhum_mean,sd_prcp_sum,sd_wspd_mean,sj_temp_mean,sj_temp_max,sj_temp_min,sj_rhum_mean,sj_prcp_sum,sj_wspd_mean,fresno_temp_mean,fresno_temp_max,fresno_temp_min,fresno_rhum_mean,fresno_prcp_sum,fresno_wspd_mean,load_mw_mean,load_mw_max,load_mw_min,load_mw_std,year,month,day,day_of_week,day_name,day_of_year,is_weekend,target_load_mw_mean
2024-01-01,13.991666666666667,19.0,10.3,68.0,0.0,7.75,11.583333333333334,14.4,8.6,85.95833333333333,0.0,6.366666666666667,13.133333333333333,17.3,8.9,78.95833333333333,0.0,4.641666666666667,11.954166666666666,17.2,7.8,78.16666666666667,0.0,4.483333333333333,9.75,14.0,8.0,94.91666666666667,0.0,7.858333333333333,20606.559027777777,24801.833333333332,16828.25,2437.323534982223,2024,1,1,0,Monday,1,0,20606.559027777777
2024-01-02,13.174999999999999,18.7,8.2,66.25,0.0,9.825000000000001,11.375,16.6,8.2,82.79166666666667,0.6,7.704166666666667,12.225,17.8,7.2,76.625,0.0,3.5083333333333333,12.15,17.8,7.8,72.79166666666667,0.0,9.383333333333333,8.583333333333334,12.0,7.0,97.75,0.0,8.104166666666666,23300.965277777777,27330.333333333332,19421.083333333332,2430.039107992874,2024,1,2,1,Tuesday,2,0,23300.965277777777
2024-01-03,13.670833333333334,17.6,11.1,77.83333333333333,2.5,9.633333333333333,11.466666666666667,14.4,9.1,82.375,11.4,16.754166666666666,13.549999999999999,16.7,11.1,84.75,2.8,7.2,11.754166666666668,16.1,8.3,76.125,16.3,13.775,9.958333333333334,12.0,8.0,93.91666666666667,12.1,9.512500000000001,23571.14236111111,27573.5,20220.916666666668,2288.6113320954364,2024,1,3,2,Wednesday,3,0,23571.14236111111
2024-01-04,13.991666666666667,18.0,12.0,45.625,0.0,14.450000000000001,10.804166666666667,14.8,7.7,76.83333333333333,0.0,10.770833333333334,12.725000000000001,16.7,8.3,74.41666666666667,0.3,8.583333333333334,11.133333333333333,16.1,7.2,69.29166666666667,0.0,8.879166666666666,6.833333333333333,10.0,5.0,96.41666666666667,0.0,9.058333333333334,23311.82986111111,27259.666666666668,20372.5,2317.7688254413756,2024,1,4,3,Thursday,4,0,23311.82986111111
2024-01-05,12.733333333333334,18.7,8.2,50.333333333333336,0.0,9.049999999999999,12.612499999999999,16.4,10.5,83.83333333333333,0.0,8.958333333333334,11.829166666666666,18.3,6.1,66.125,0.0,4.425,12.916666666666666,17.2,10.0,71.66666666666667,0.0,10.266666666666667,7.633333333333333,12.0,3.2,88.58333333333333,0.0,6.829166666666667,23085.71875,26706.333333333332,19445.666666666668,2301.631480648642,2024,1,5,4,Friday,5,0,23085.71875
2024-01-06,12.379166666666668,17.7,7.1,61.75,0.0,10.466666666666667,10.174999999999999,16.0,6.3,78.45833333333333,3.7,11.691666666666668,11.9,18.3,5.6,67.25,0.0,4.2250000000000005,10.158333333333333,17.2,5.0,64.25,3.0999999999999996,9.4875,6.4875,12.0,3.0,92.33333333333333,0.0,8.520833333333334,22349.010416666668,25960.416666666668,19842.0,1908.678514176382,2024,1,6,5,Saturday,6,1,22349.010416666668
2024-01-07,13.204166666666666,15.9,10.9,52.75,0.0,14.516666666666666,8.770833333333334,12.4,4.7,62.75,0.0,14.020833333333334,14.583333333333334,16.7,13.3,61.625,1.2000000000000002,18.6375,8.454166666666667,12.8,3.3,64.875,3.0,11.820833333333333,6.554166666666667,11.0,3.3,87.375,5.5,11.504166666666668,21199.145833333332,26581.5,15784.0,3362.466646230245,2024,1,7,6,Sunday,7,1,21199.145833333332
2024-01-08,11.345833333333333,16.7,6.5,29.958333333333332,0.0,10.866666666666667,8.579166666666667,12.5,4.3,66.66666666666667,0.0,7.9750000000000005,10.695833333333333,15.6,3.9,48.5,0.0,9.2875,7.9125000000000005,15.6,2.8,62.0,0.0,4.558333333333334,4.75,11.0,1.0,83.16666666666667,0.0,9.279166666666667,24068.59375,28684.416666666668,19819.25,2889.977062379981,2024,1,8,0,Monday,8,0,24068.59375
2024-01-09,11.383333333333333,17.6,6.9,37.0,0.0,9.604166666666666,10.870833333333332,14.1,9.5,82.95833333333333,2.0,12.120833333333332,10.766666666666666,16.7,3.9,47.708333333333336,0.0,4.8,10.6875,15.0,8.3,62.958333333333336,0.5,9.029166666666667,6.041666666666667,12.0,1.0,79.04166666666667,0.0,6.954166666666667,24021.45486111111,27982.666666666668,20796.666666666668,2440.528750395938,2024,1,9,1,Tuesday,9,0,24021.45486111111
2024-01-10,11.229166666666666,16.7,7.1,58.541666666666664,0.0,10.6,9.858333333333333,12.9,6.0,76.54166666666667,4.4,18.425,11.137500000000001,16.7,6.1,69.25,0.0,4.408333333333333,8.520833333333334,13.3,3.3,76.0,5.7,6.3500000000000005,9.066666666666666,13.0,4.6,73.20833333333333,0.0,7.866666666666667,24510.215277777777,28550.833333333332,21043.666666666668,2385.824384549507,2024,1,10,2,Wednesday,10,0,24510.215277777777
